"Instituto","Data","Data divulgação","Registro","Lula","Bolsonaro","Ciro","Tebet","Outros","BNI","VV13","VV17"
"Quaest",2022-08-28,2022-08-31,"BR-00585/2022",44,32,8,3,2,11,0.49438202247191,0.359550561797753
"MDA",2022-08-28,2022-08-30,"BR-00950/2022",42,34,7,2,2,13,0.482758620689655,0.390804597701149
"FSB",2022-08-28,2022-08-29,"BR-08934/2022",43,36,9,4,1,7,0.462365591397849,0.387096774193548
"Ipec",2022-08-29,2022-08-29,"BR-01979/2022",44,32,7,3,1,13,0.505747126436782,0.367816091954023
"Ideia Big Data",2022-08-24,2022-08-25,"BR-02405/2022",44,36,9,4,2,5,0.463157894736842,0.378947368421053
"Atlas",2022-08-24,2022-08-25,"BR-00848/2022",47,38,6,4,3,2,0.479591836734694,0.387755102040816
"Brasmarket",2022-08-22,NA,"BR-07901/2022",33,41,4,3,2,17,0.397590361445783,0.493975903614458
"Datafolha",2022-03-23,NA,"BR-08967/2022",43,26,6,1,16,8,0.467391304347826,0.282608695652174
"Datafolha",2022-05-26,NA,"BR-05166/2022",48,27,7,2,5,11,0.539325842696629,0.303370786516854
"Datafolha",2022-06-23,NA,"BR-09088/2022",47,28,8,1,5,11,0.528089887640449,0.314606741573034
"Datafolha",2022-07-28,NA,"BR-01192/2022",47,29,8,2,5,9,0.516483516483517,0.318681318681319
"Datafolha",2022-08-16,NA,"BR-09404/2022",47,32,7,2,4,8,0.510869565217391,0.347826086956522
"FSB",2022-03-20,NA,"BR-09630/2022",43,29,9,1,13,5,0.452631578947368,0.305263157894737
"FSB",2022-04-24,NA,"BR-04676/2022",41,32,9,1,8,9,0.450549450549451,0.351648351648352
"FSB",2022-05-29,NA,"BR-03196/2022",46,32,9,2,3,8,0.5,0.347826086956522
"FSB",2022-06-12,NA,"BR-03958/2022",44,32,9,2,4,9,0.483516483516484,0.351648351648352
"FSB",2022-06-26,NA,"BR-05022/2022",43,33,8,3,5,8,0.467391304347826,0.358695652173913
"FSB",2022-07-10,NA,"BR-09292/2022",41,32,9,4,6,8,0.445652173913043,0.347826086956522
"FSB",2022-07-24,NA,"BR-05938/2022",44,31,9,2,4,10,0.488888888888889,0.344444444444444
"FSB",2022-08-07,NA,"BR-08028/2022",41,34,7,3,4,11,0.460674157303371,0.382022471910112
"FSB",2022-08-14,NA,"BR-00603/2022",45,34,8,2,3,8,0.489130434782609,0.369565217391304
"FSB",2022-08-21,NA,"BR-00244/2022",45,36,6,3,5,5,0.473684210526316,0.378947368421053
"Futura",2022-01-21,NA,"BR-08869/2022",37,31,6,1,14,11,0.415730337078652,0.348314606741573
"Futura",2022-02-17,NA,"BR-03014/2022",35,35,6,1,12,11,0.393258426966292,0.393258426966292
"Futura",2022-03-25,NA,"BR-00758/2022",39,36,5,1,10,9,0.428571428571429,0.395604395604396
"Futura",2022-04-25,NA,"BR-08858/2022",41,35,7,3,4,10,0.455555555555556,0.388888888888889
"Futura",2022-05-19,NA,"BR-05658/2022",41,36,6,1,5,11,0.460674157303371,0.404494382022472
"Futura",2022-07-25,NA,"BR-07639/2022",40,38,7,1,3,11,0.449438202247191,0.426966292134831
"Gerp",2022-03-10,NA,"BR-07402/2022",38,31,5,0,10,16,0.452380952380952,0.369047619047619
"Gerp",2022-04-05,NA,"BR-02346/2022",37,35,5,0,9,14,0.430232558139535,0.406976744186047
"Gerp",2022-06-03,NA,"BR-00123/2022",39,37,7,2,6,9,0.428571428571429,0.406593406593407
"Gerp",2022-08-05,NA,"BR-009327/2022",38,38,10,3,4,7,0.408602150537634,0.408602150537634
"Ideia Big Data",2022-01-13,NA,"BR-03460/2022",40,30,7,0,12,11,0.449438202247191,0.337078651685393
"Ideia Big Data",2022-02-22,NA,"BR-05955/2022",42,27,8,0,16,7,0.451612903225806,0.290322580645161
"Ideia Big Data",2022-03-23,NA,"BR-04244/2022",40,29,9,1,15,6,0.425531914893617,0.308510638297872
"Ideia Big Data",2022-04-20,NA,"BR-02495/2022",42,33,10,1,7,7,0.451612903225806,0.354838709677419
"Ideia Big Data",2022-05-19,NA,"BR-01734/2022",41,32,9,1,5,12,0.465909090909091,0.363636363636364
"Ideia Big Data",2022-06-22,NA,"BR-02845/2022",45,36,7,3,2,7,0.483870967741935,0.387096774193548
"Ideia Big Data",2022-07-20,NA,"BR-09608-2022",44,33,8,4,4,7,0.473118279569892,0.354838709677419
"Ipec",2022-08-15,NA,"BR-03980/2022",44,32,6,2,1,15,0.517647058823529,0.376470588235294
"Ipespe",2022-01-12,NA,"BR-09080/2022",44,24,7,1,12,12,0.5,0.272727272727273
"Ipespe",2022-01-25,NA,"BR-06408/2022",44,24,8,1,11,12,0.5,0.272727272727273
"Ipespe",2022-02-09,NA,"BR-03828/2022",43,25,8,1,11,12,0.488636363636364,0.284090909090909
"Ipespe",2022-02-23,NA,"BR-05015/2022",43,26,7,1,14,9,0.472527472527473,0.285714285714286
"Ipespe",2022-03-09,NA,"BR-03573/2022",43,28,8,1,11,9,0.472527472527473,0.307692307692308
"Ipespe",2022-03-23,NA,"BR-04222/2022",44,26,7,1,13,9,0.483516483516484,0.285714285714286
"Ipespe",2022-04-05,NA,"BR-03874/2022",44,30,9,2,3,12,0.5,0.340909090909091
"Ipespe",2022-04-20,NA,"BR-05747/2022",45,31,8,2,4,10,0.5,0.344444444444444
"Ipespe",2022-05-04,NA,"BR-03473/2022",44,31,8,1,6,10,0.488888888888889,0.344444444444444
"Ipespe",2022-05-11,NA,"BR-02603/2022",44,32,8,1,5,10,0.488888888888889,0.355555555555556
"Ipespe",2022-05-18,NA,"BR-08011/2022",44,32,8,2,6,8,0.478260869565217,0.347826086956522
"Ipespe",2022-05-25,NA,"BR-07856/2022",45,34,8,3,5,5,0.473684210526316,0.357894736842105
"Ipespe",2022-06-01,NA,"BR-02893/2022",45,34,9,3,0,9,0.494505494505495,0.373626373626374
"Ipespe",2022-07-22,NA,"BR-08220/2022",44,35,9,4,0,8,0.478260869565217,0.380434782608696
"MDA",2022-02-19,NA,"BR-09751/2022",42,28,7,1,10,12,0.477272727272727,0.318181818181818
"MDA",2022-05-07,NA,"BR-05757/2022",41,32,7,2,6,12,0.465909090909091,0.363636363636364
"Paraná Pesquisas",2022-02-01,NA,"BR-09055/2022",40,29,6,1,14,10,0.444444444444444,0.322222222222222
"Paraná Pesquisas",2022-03-08,NA,"BR-06682/2022",39,30,7,0,13,11,0.438202247191011,0.337078651685393
"Paraná Pesquisas",2022-04-05,NA,"BR-08065/2022",40,33,5,1,10,11,0.449438202247191,0.370786516853933
"Paraná Pesquisas",2022-05-03,NA,"BR-09280/2022",40,35,7,1,6,11,0.449438202247191,0.393258426966292
"Paraná Pesquisas",2022-05-30,NA,"BR-04618/2022",41,35,8,1,5,10,0.455555555555556,0.388888888888889
"Paraná Pesquisas",2022-07-05,NA,"BR-09408/2022",41,35,7,2,5,10,0.455555555555556,0.388888888888889
"Paraná Pesquisas",2022-08-01,NA,"BR-05251/2022",41,36,8,2,3,10,0.455555555555556,0.4
"Paraná Pesquisas",2022-08-23,NA,"BR-03138/2022",42,37,7,3,1,10,0.466666666666667,0.411111111111111
"PoderData",2022-01-18,NA,"BR-02137/2022",42,28,3,1,14,12,0.477272727272727,0.318181818181818
"PoderData",2022-02-01,NA,"BR-09445/2022",41,30,7,1,13,8,0.445652173913043,0.326086956521739
"PoderData",2022-02-15,NA,"BR-06942/2022",40,32,7,0,13,8,0.434782608695652,0.347826086956522
"PoderData",2022-03-15,NA,"BR-00835/2022",40,30,7,2,13,8,0.434782608695652,0.326086956521739
"PoderData",2022-03-29,NA,"BR-06661/2022",41,32,7,1,12,7,0.440860215053763,0.344086021505376
"PoderData",2022-04-12,NA,"BR-00368/2022",40,35,5,2,7,11,0.449438202247191,0.393258426966292
"PoderData",2022-04-26,NA,"BR-07167/2022",41,36,6,1,9,7,0.440860215053763,0.387096774193548
"PoderData",2022-05-10,NA,"BR-08423/2022",42,35,5,0,9,9,0.461538461538462,0.384615384615385
"PoderData",2022-05-24,NA,"BR-05638/2022",43,35,7,1,4,10,0.477777777777778,0.388888888888889
"PoderData",2022-06-07,NA,"BR-01975/2022",43,35,6,1,5,10,0.477777777777778,0.388888888888889
"PoderData",2022-06-21,NA,"BR-07003/2022",44,34,5,1,7,9,0.483516483516484,0.373626373626374
"PoderData",2022-07-05,NA,"BR-06550/2022",44,36,6,1,4,9,0.483516483516484,0.395604395604396
"PoderData",2022-07-19,NA,"BR-07122/2022",43,37,6,3,3,8,0.467391304347826,0.402173913043478
"PoderData",2022-08-02,NA,"BR-08398/2022",43,35,5,4,7,6,0.457446808510638,0.372340425531915
"PoderData",2022-08-16,NA,"BR-02548/2022",44,37,6,4,2,7,0.473118279569892,0.397849462365591
"Quaest",2022-01-09,NA,"BR-00075/2022",45,23,5,1,13,13,0.517241379310345,0.264367816091954
"Quaest",2022-02-06,NA,"BR-08857/2022",45,23,7,1,11,13,0.517241379310345,0.264367816091954
"Quaest",2022-03-13,NA,"BR-06693/2022",44,26,7,1,11,11,0.49438202247191,0.292134831460674
"Quaest",2022-04-03,NA,"BR-00372/2022",44,29,5,1,11,10,0.488888888888889,0.322222222222222
"Quaest",2022-05-08,NA,"BR-01603/2022",46,29,7,1,8,9,0.505494505494505,0.318681318681319
"Quaest",2022-06-05,NA,"BR-03552/2022",46,30,7,1,4,12,0.522727272727273,0.340909090909091
"Quaest",2022-07-02,NA,"BR-01763/2022",45,31,6,2,4,12,0.511363636363636,0.352272727272727
"Quaest",2022-07-31,NA,"BR-02546/2022",44,32,5,2,5,12,0.5,0.363636363636364
"Quaest",2022-08-14,NA,"BR-01167/2022",45,33,6,2,2,12,0.511363636363636,0.375
"Ranking",2022-03-12,NA,"BR-04724/2022",38,31,6,1,12,12,0.431818181818182,0.352272727272727
"Ranking",2022-05-14,NA,"BR-06764/2022",39,34,6,1,5,15,0.458823529411765,0.4
"Real Time Big Data",2022-05-24,NA,"BR-07451/2022",39,31,8,2,6,14,0.453488372093023,0.36046511627907
"Sensus",2022-04-11,NA,"BR-01631/2022",43,29,6,1,6,15,0.505882352941176,0.341176470588235
"Sigma",2022-08-05,NA,"BR-04937/2022",28,38,8,3,2,21,0.354430379746835,0.481012658227848
